Graph_ID,Category,Vertices,Edges,Prim_Cost,Kruskal_Cost,Prim_Time_ms,Kruskal_Time_ms,Prim_Operations,Kruskal_Operations
1,small,24,35,668,668,3.2266,1.1266,63,63
2,small,7,9,322,322,0.0527,0.0310,18,18
3,small,30,44,1095,1095,0.1390,0.1181,80,80
4,small,14,20,453,453,0.0593,0.0458,36,36
5,small,24,35,878,878,0.2061,0.1685,62,62
6,medium,128,255,3313,3313,0.5497,0.5063,479,477
7,medium,76,151,2201,2201,0.2872,0.2344,258,258
8,medium,296,591,8451,8451,0.8679,1.2180,1089,1083
9,medium,102,203,2821,2821,0.2927,0.3009,374,373
10,medium,119,237,3262,3262,0.2271,0.2778,400,400
11,medium,82,163,2594,2594,0.1395,0.2496,323,320
12,medium,75,149,2321,2321,0.1248,0.2005,266,266
13,medium,186,371,5142,5142,0.3706,0.3731,667,666
14,medium,175,349,4711,4711,0.2915,0.4427,645,647
15,medium,88,175,2635,2635,0.1931,0.2606,321,320
16,large,924,2309,21310,21310,2.8843,3.2346,4442,4445
17,large,880,2199,19919,19919,1.6594,2.7562,4194,4173
18,large,867,2166,19582,19582,2.0132,2.4409,4037,4039
19,large,867,2166,19065,19065,1.5512,1.8420,4239,4240
20,large,997,2491,22361,22361,1.5072,1.8422,4714,4715
21,large,681,1701,16228,16228,1.6253,1.6776,3167,3164
22,large,895,2236,19825,19825,2.0174,1.6248,4101,4087
23,large,557,1391,12623,12623,1.5214,1.4196,2567,2572
24,large,797,1991,18441,18441,1.2516,1.6611,3963,3967
25,large,979,2446,22015,22015,1.4363,1.6999,4503,4509
26,xlarge,1515,4544,30061,30061,1.9321,3.3727,8410,8407
27,xlarge,1890,5669,37527,37527,2.4937,4.2532,11004,10938
28,xlarge,2408,7223,48479,48479,4.4261,7.5114,14047,14037
29,xlarge,1481,4442,28207,28207,1.5004,2.4040,8208,8207
30,xlarge,2933,8798,57961,57961,6.3790,7.6206,17209,17149
